"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","GDPHRWKD","TOT","IDX2015","A","1970",44.276185,
"LUX","GDPHRWKD","TOT","IDX2015","A","1971",44.127415,
"LUX","GDPHRWKD","TOT","IDX2015","A","1972",46.32199,
"LUX","GDPHRWKD","TOT","IDX2015","A","1973",50.04857,
"LUX","GDPHRWKD","TOT","IDX2015","A","1974",51.423162,
"LUX","GDPHRWKD","TOT","IDX2015","A","1975",48.217437,
"LUX","GDPHRWKD","TOT","IDX2015","A","1976",49.038542,
"LUX","GDPHRWKD","TOT","IDX2015","A","1977",50.56209,
"LUX","GDPHRWKD","TOT","IDX2015","A","1978",53.46861,
"LUX","GDPHRWKD","TOT","IDX2015","A","1979",54.976528,
"LUX","GDPHRWKD","TOT","IDX2015","A","1980",55.583729,
"LUX","GDPHRWKD","TOT","IDX2015","A","1981",55.909236,
"LUX","GDPHRWKD","TOT","IDX2015","A","1982",57.29416,
"LUX","GDPHRWKD","TOT","IDX2015","A","1983",59.397558,
"LUX","GDPHRWKD","TOT","IDX2015","A","1984",63.240305,
"LUX","GDPHRWKD","TOT","IDX2015","A","1985",63.858982,
"LUX","GDPHRWKD","TOT","IDX2015","A","1986",68.961883,
"LUX","GDPHRWKD","TOT","IDX2015","A","1987",69.86048,
"LUX","GDPHRWKD","TOT","IDX2015","A","1988",72.662338,
"LUX","GDPHRWKD","TOT","IDX2015","A","1989",77.645732,
"LUX","GDPHRWKD","TOT","IDX2015","A","1990",78.472334,
"LUX","GDPHRWKD","TOT","IDX2015","A","1991",82.86423,
"LUX","GDPHRWKD","TOT","IDX2015","A","1992",83.183228,
"LUX","GDPHRWKD","TOT","IDX2015","A","1993",84.813478,
"LUX","GDPHRWKD","TOT","IDX2015","A","1994",86.885129,
"LUX","GDPHRWKD","TOT","IDX2015","A","1995",89.01724,
"LUX","GDPHRWKD","TOT","IDX2015","A","1996",87.583416,
"LUX","GDPHRWKD","TOT","IDX2015","A","1997",89.632528,
"LUX","GDPHRWKD","TOT","IDX2015","A","1998",91.328399,
"LUX","GDPHRWKD","TOT","IDX2015","A","1999",94.634672,
"LUX","GDPHRWKD","TOT","IDX2015","A","2000",96.641846,"B"
"LUX","GDPHRWKD","TOT","IDX2015","A","2001",94.710611,
"LUX","GDPHRWKD","TOT","IDX2015","A","2002",95.869912,
"LUX","GDPHRWKD","TOT","IDX2015","A","2003",95.772241,
"LUX","GDPHRWKD","TOT","IDX2015","A","2004",97.012861,
"LUX","GDPHRWKD","TOT","IDX2015","A","2005",99.152328,
"LUX","GDPHRWKD","TOT","IDX2015","A","2006",100.280904,
"LUX","GDPHRWKD","TOT","IDX2015","A","2007",103.143805,
"LUX","GDPHRWKD","TOT","IDX2015","A","2008",97.146461,
"LUX","GDPHRWKD","TOT","IDX2015","A","2009",95.011142,
"LUX","GDPHRWKD","TOT","IDX2015","A","2010",97.84711,
"LUX","GDPHRWKD","TOT","IDX2015","A","2011",97.550463,
"LUX","GDPHRWKD","TOT","IDX2015","A","2012",95.343628,
"LUX","GDPHRWKD","TOT","IDX2015","A","2013",97.403017,
"LUX","GDPHRWKD","TOT","IDX2015","A","2014",98.824689,
"LUX","GDPHRWKD","TOT","IDX2015","A","2015",100,
"LUX","GDPHRWKD","TOT","IDX2015","A","2016",101.594367,
"LUX","GDPHRWKD","TOT","IDX2015","A","2017",100.446278,
"LUX","GDPHRWKD","TOT","IDX2015","A","2018",99.860746,
"LUX","GDPHRWKD","TOT","IDX2015","A","2019",98.590731,
